Date,Title,Tone,Matins Gospel,Epistle,Gospel,Fasting,Holy Day of Obligation,Raw Text
121524,11th SUNDAY AFTER HOLY CROSS (Sunday of the Holy Ancestors). Following week readings –31st week after Pentecost,5,8,Col 3: 4- 12,Lk. 14: 16–25,Common Abstinence,True,"15
Common Abstinence
11th SUNDAY AFTER HOLY CROSS
(Sunday of the Holy Ancestors).
Tone 5, Res. Gospel 8, Epistle Col 3: 4-
12; Gospel Lk. 14: 16–25. Following
week readings –31st week after
Pentecost."
121624,Prophet Haggai,,,,,Common Abstinence,False,"16
Common Abstinence
Prophet Haggai"
121724,The Holy Prophet Daniel and the Three Holy Youths,,,,,Common Abstinence,False,"17
Common Abstinence
The Holy Prophet Daniel
and the Three Holy Youths"
122224,,,,,,Common Abstinence,True,"22
Common Abstinence"
122324,,,,,,Common Abstinence,False,"23
Common Abstinence"
122924,SUNDAY AFTER NATIVITY OF OUR LORD JESUS CHRIST. Following week readings 32nd week after Pentecost,7,10,Gal. 1: 11-19,Mt. 2: 13 – 23,,True,"29
SUNDAY AFTER NATIVITY OF
OUR LORD JESUS CHRIST. Tone 7,
Res. Gospel 10, Epistle Gal. 1: 11-19;
Gospel Mt. 2: 13 – 23.
Following week readings 32nd
week after Pentecost."
123024,"Anysia, Martyr; Zoticus the Protector of Orphans, Priest",,,,,,False,"30
Anysia, Martyr; Zoticus the
Protector of Orphans, Priest"
123124,Leavetaking of the Nativity (New Year’s Eve) Ven. Melania of Rome,,,,,,False,"31
Leavetaking of the Nativity
(New Year’s Eve)
Ven. Melania of Rome"
010525,,,,,,,True,5
010625,,,,,,,False,6
011225,Sunday after the Theophany,1,1,Eph. 4: 7 13,Matt 4:12-17,,True,"12
Sunday after the Theophany
Tone 1, Res. Gospel 1. Epistle Eph. 4: 7
13; Gospel Matt 4:12-17."
011325,"Ermylus & Stratonicus, martyrs",,,,,,False,"13
Ermylus & Stratonicus,
martyrs."
011425,Leavetaking of Theophany. Venerable Fathers martyred at Sinai and Raithu,,,,,,False,"14
Leavetaking of
Theophany.
Venerable Fathers
martyred at Sinai and
Raithu."
011925,,,,,,,True,19
012025,,,,,,,False,20
011225,"th Sunday after The Holy Cross (29th Sunday after Pentecost), Res. Following week readings are of the 30th week after Pentecost",2,,Col. 3:4- 11,"2, Gospel Lk 17:12-19",,True,"12th Sunday after The Holy Cross
(29th Sunday after Pentecost)
Tone 2, Res, Gospel 2, Epistle Col. 3:4-
11, Gospel Lk 17:12-19. Following week
readings are of the 30th week after
Pentecost."
011225,th Sunday after The Holy Cross,,,,,,True,12th Sunday after The Holy Cross
012625,15th Sunday after Holy Cross: Zacchaeus Sunday (32nd Sunday After Pentecost). Following week readings are of the 33rd week after Pentecost,3,3,1 Tim 4:9-16,Luke 19:1- 10,,True,"26
15th Sunday after Holy Cross:
Zacchaeus Sunday (32nd Sunday
After Pentecost) Tone 3, Res. Gospel 3,
Epistle:1 Tim 4:9-16; Gospel: Luke 19:1-
10. Following week readings are of the
33rd week after Pentecost."
012725,(†) Translation of the relics of St. John Chrysostom,,,Heb. 7:26 to 8:2,John 10:9-16,,False,"27
(†) Translation of the relics
of St. John Chrysostom.
Epistle Heb. 7:26 to 8:2
Gospel John 10:9-16"
012825,"Eutychius of Melitene, hieromartyr",,,,,,False,"28
Eutychius of Melitene,
hieromartyr"
020225,,,,,,,True,2
020325,,,,,,,False,3
020925,Beginning of the Triodion Leavetaking of Presentation of Our Lord in the Temple Sunday of the Pharisee and the Publican. Following week readings are of the 34th week after Pentecost,5,5,3 Tim. 3: 10-15,Luke 18:10-14,,True,"9
Beginning of the Triodion
Leavetaking of Presentation of Our Lord in the Temple
Sunday of the Pharisee and the
Publican. Tone 5, Res. Gospel 5,
Epistle: 3 Tim. 3: 10-15; Gospel: Luke
18:10-14.
Following week readings are of the
34th week after Pentecost."
021025,"Charalampus, martyr",,,,,,False,"10
Charalampus, martyr"
021125,"Blaise, martyr",,,,,,False,"11
Blaise, martyr"
021625,,,,,,,True,16
021725,,,,,,,False,17
021825,,,,,,,False,18
022325,Meat-Fare Sunday – Sunday of the Last Judgement. The readings for the following week are of the Cheesefare week.  from meat products this week,7,7,1 Cor. 8: 8-13 – 9:1-2,Matt. 25:31-46,Abstinence,True,"23
Meat-Fare Sunday – Sunday of
the Last Judgement. Tone 7, Res.
Gospel 7. Epistle: 1 Cor. 8: 8-13 – 9:1-2;
Gospel: Matt. 25:31-46. The readings
for the following week are of the
Cheesefare week. Abstinence from
meat products this week."
022425,First and Second Findings of the Honored Head of St. John the Baptist,,,,,,False,"24
First and Second Findings of
the Honored Head of St. John
the Baptist"
022525,"Holy Father Tarasius, Archbishop of Constantinople",,,,,,False,"25
Holy Father Tarasius,
Archbishop of
Constantinople"
030225,,,,,,,True,2
030325,Strict,,,,,Abstinence,False,"3
Strict Abstinence"
030925,1st Sunday of Lent – Orthodoxy Sunday. Liturgy of St. Basil,1,9,Heb. 11: 24-26,Jn. 1:43-51,Common Abstinence,True,"9
Common Abstinence
1st Sunday of Lent –
Orthodoxy Sunday. Liturgy
of St. Basil. Tone 1. Res. Gospel 9.
Epistle: Heb. 11: 24-26; Gospel: Jn.
1:43-51."
031025,"Codratus and his companions, martyrs",,,,,Common Abstinence,False,"10
Common Abstinence
Codratus and his
companions, martyrs"
031125,"Ven. Father Sophronius, Archbishop of Jerusalem",,,,,Common Abstinence,False,"11
Common Abstinence
Ven. Father Sophronius,
Archbishop of Jerusalem"
031625,,,,,,Common Abstinence,True,"16
Common Abstinence"
031725,,,,,,Common Abstinence,False,"17
Common Abstinence"
032325,3rd Sunday of Lent – Veneration of the Holy Cross. Liturgy of St. Basil. Heb. 4: 14 to 5:6. Procession with the Holy Cross around the Church & Veneration 30 4th Sunday of Lent – Ven. Father John of the Ladder. Liturgy of St. Basil. Tone 4. Res. Gospel 1. Heb. 6: 13-20; Gospel: Mark 9:17-32,3,11,,Mark 8:34 - 9:1,Common Abstinence,True,"23
Common Abstinence
3rd Sunday of Lent –
Veneration of the Holy
Cross. Liturgy of St. Basil. Tone
3. Res. Gospel 11. Heb. 4: 14 to
5:6; Gospel: Mark 8:34 - 9:1.
Procession with the Holy Cross
around the Church & Veneration
30
4th Sunday of Lent – Ven.
Father John of the Ladder.
Liturgy of St. Basil. Tone 4. Res.
Gospel 1. Heb. 6: 13-20; Gospel:
Mark 9:17-32."
032425,"Ven. Father Zachary the Recluse. 31 Ven. Hypatius, Bishop of Gangra",,,,,Common Abstinence,False,"24
Common Abstinence
Ven. Father Zachary the
Recluse.
31
Ven. Hypatius, Bishop of
Gangra"
032525,(†) ANNUNCIATION Holy Day of Obligation,,,2:11-18,Lk. 1:24-38,Dispensation (Harti),True,"25
Dispensation (Harti)
(†) ANNUNCIATION
Holy Day of Obligation
Epistle 2:11-18;
Gospel Lk. 1:24-38."
041325,Palm Sunday (Floriile) Liturgy of St. John. Begin Holy Week,6,3,Phil. 4: 4-9,Jn. 12:1-18,Common Abstinence,True,"13
Common Abstinence
Palm Sunday (Floriile)
Liturgy of St. John. Begin Holy Week
Epistle: Phil. 4: 4-9, Gospel: Jn. 12:1-18.
Tone 6. Res. Gospel 3."
